id,landmark_id
all_souls_000085,0
all_souls_000065,0
all_souls_000017,0
all_souls_000144,0
all_souls_000176,0
all_souls_000095,0
all_souls_000184,0
all_souls_000193,0
all_souls_000134,0
all_souls_000055,0
all_souls_000029,0
all_souls_000072,0
all_souls_000031,0
all_souls_000020,0
all_souls_000064,0
all_souls_000068,0
all_souls_000202,0
all_souls_000057,0
all_souls_000040,0
all_souls_000219,0
all_souls_000019,0
all_souls_000033,0
all_souls_000073,0
all_souls_000016,0
all_souls_000011,0
all_souls_000119,0
all_souls_000042,0
all_souls_000039,0
all_souls_000143,0
all_souls_000220,0
all_souls_000140,0
all_souls_000053,0
all_souls_000174,0
all_souls_000080,0
all_souls_000146,0
all_souls_000197,0
all_souls_000191,0
all_souls_000152,0
all_souls_000061,0
all_souls_000041,0
all_souls_000028,0
all_souls_000048,0
all_souls_000021,0
all_souls_000066,0
all_souls_000117,0
all_souls_000060,0
all_souls_000034,0
all_souls_000120,0
all_souls_000014,0
all_souls_000054,0
all_souls_000142,0
all_souls_000167,0
all_souls_000044,0
all_souls_000002,0
all_souls_000007,0
all_souls_000182,0
all_souls_000136,0
all_souls_000180,0
all_souls_000132,0
all_souls_000090,0
all_souls_000101,0
all_souls_000210,0
all_souls_000015,0
all_souls_000027,0
all_souls_000161,0
all_souls_000206,0
all_souls_000010,0
all_souls_000059,0
all_souls_000062,0
all_souls_000026,0
all_souls_000133,0
all_souls_000149,0
all_souls_000099,0
all_souls_000151,0
all_souls_000093,0
all_souls_000006,0
all_souls_000157,0
all_souls_000084,0
all_souls_000153,0
all_souls_000159,0
all_souls_000097,0
all_souls_000075,0
all_souls_000208,0
all_souls_000110,0
all_souls_000001,0
all_souls_000181,0
all_souls_000013,0
all_souls_000188,0
all_souls_000207,0
all_souls_000105,0
all_souls_000186,0
all_souls_000145,0
all_souls_000130,0
all_souls_000018,0
all_souls_000003,0
all_souls_000035,0
all_souls_000126,0
all_souls_000213,0
all_souls_000091,0
all_souls_000162,0
all_souls_000070,0
all_souls_000067,0
all_souls_000192,0
all_souls_000051,0
all_souls_000103,0
all_souls_000214,0
all_souls_000160,0
all_souls_000114,0
all_souls_000131,0
all_souls_000106,0
all_souls_000209,0
all_souls_000063,0
all_souls_000087,0
all_souls_000100,0
all_souls_000216,0
all_souls_000148,0
all_souls_000102,0
all_souls_000012,0
all_souls_000045,0
all_souls_000175,0
all_souls_000190,0
all_souls_000047,0
all_souls_000107,0
all_souls_000150,0
all_souls_000005,0
all_souls_000022,0
all_souls_000000,0
all_souls_000076,0
all_souls_000205,0
all_souls_000008,0
all_souls_000183,0
all_souls_000215,0
ashmolean_000107,1
ashmolean_000326,1
ashmolean_000106,1
ashmolean_000263,1
ashmolean_000121,1
ashmolean_000171,1
ashmolean_000129,1
ashmolean_000297,1
ashmolean_000062,1
ashmolean_000077,1
ashmolean_000002,1
ashmolean_000260,1
ashmolean_000227,1
ashmolean_000014,1
ashmolean_000153,1
ashmolean_000052,1
ashmolean_000345,1
ashmolean_000310,1
ashmolean_000060,1
ashmolean_000289,1
ashmolean_000198,1
ashmolean_000149,1
ashmolean_000222,1
ashmolean_000096,1
ashmolean_000090,1
ashmolean_000148,1
ashmolean_000104,1
ashmolean_000225,1
ashmolean_000192,1
ashmolean_000230,1
ashmolean_000016,1
ashmolean_000076,1
ashmolean_000087,1
ashmolean_000025,1
ashmolean_000179,1
ashmolean_000097,1
ashmolean_000339,1
ashmolean_000217,1
ashmolean_000331,1
ashmolean_000183,1
ashmolean_000296,1
ashmolean_000080,1
ashmolean_000294,1
ashmolean_000228,1
ashmolean_000065,1
ashmolean_000280,1
ashmolean_000180,1
ashmolean_000324,1
ashmolean_000231,1
ashmolean_000186,1
ashmolean_000337,1
ashmolean_000209,1
ashmolean_000236,1
ashmolean_000083,1
ashmolean_000233,1
ashmolean_000187,1
ashmolean_000154,1
ashmolean_000203,1
ashmolean_000286,1
ashmolean_000261,1
ashmolean_000265,1
ashmolean_000151,1
ashmolean_000176,1
ashmolean_000216,1
ashmolean_000116,1
ashmolean_000245,1
ashmolean_000287,1
ashmolean_000246,1
ashmolean_000304,1
ashmolean_000188,1
ashmolean_000276,1
ashmolean_000117,1
ashmolean_000064,1
ashmolean_000112,1
ashmolean_000196,1
ashmolean_000005,1
ashmolean_000220,1
ashmolean_000173,1
ashmolean_000303,1
ashmolean_000033,1
ashmolean_000202,1
ashmolean_000125,1
ashmolean_000172,1
ashmolean_000241,1
ashmolean_000288,1
ashmolean_000118,1
ashmolean_000278,1
ashmolean_000322,1
ashmolean_000290,1
ashmolean_000255,1
ashmolean_000254,1
ashmolean_000215,1
ashmolean_000122,1
ashmolean_000279,1
ashmolean_000283,1
ashmolean_000028,1
ashmolean_000316,1
ashmolean_000232,1
ashmolean_000291,1
ashmolean_000059,1
ashmolean_000314,1
ashmolean_000309,1
ashmolean_000150,1
ashmolean_000205,1
ashmolean_000259,1
ashmolean_000010,1
ashmolean_000200,1
ashmolean_000170,1
ashmolean_000350,1
ashmolean_000063,1
ashmolean_000302,1
ashmolean_000281,1
ashmolean_000120,1
ashmolean_000262,1
ashmolean_000219,1
ashmolean_000000,1
ashmolean_000334,1
ashmolean_000166,1
ashmolean_000208,1
ashmolean_000088,1
ashmolean_000305,1
ashmolean_000007,1
ashmolean_000145,1
ashmolean_000109,1
ashmolean_000169,1
ashmolean_000174,1
ashmolean_000167,1
ashmolean_000266,1
ashmolean_000197,1
ashmolean_000155,1
ashmolean_000336,1
ashmolean_000207,1
ashmolean_000301,1
ashmolean_000285,1
ashmolean_000177,1
ashmolean_000221,1
ashmolean_000292,1
ashmolean_000093,1
ashmolean_000126,1
ashmolean_000067,1
ashmolean_000258,1
ashmolean_000269,1
ashmolean_000178,1
ashmolean_000210,1
ashmolean_000223,1
ashmolean_000249,1
ashmolean_000147,1
ashmolean_000250,1
ashmolean_000252,1
ashmolean_000078,1
ashmolean_000306,1
ashmolean_000224,1
ashmolean_000079,1
ashmolean_000256,1
ashmolean_000270,1
ashmolean_000193,1
ashmolean_000244,1
ashmolean_000185,1
ashmolean_000211,1
ashmolean_000164,1
ashmolean_000257,1
ashmolean_000098,1
ashmolean_000058,1
ashmolean_000168,1
ashmolean_000099,1
ashmolean_000247,1
ashmolean_000212,1
ashmolean_000307,1
ashmolean_000094,1
ashmolean_000061,1
ashmolean_000251,1
ashmolean_000201,1
ashmolean_000003,1
ashmolean_000273,1
ashmolean_000214,1
ashmolean_000024,1
ashmolean_000082,1
ashmolean_000274,1
ashmolean_000036,1
ashmolean_000119,1
ashmolean_000242,1
ashmolean_000184,1
ashmolean_000298,1
ashmolean_000218,1
ashmolean_000066,1
ashmolean_000012,1
ashmolean_000175,1
ashmolean_000206,1
ashmolean_000124,1
ashmolean_000229,1
ashmolean_000243,1
ashmolean_000213,1
ashmolean_000123,1
ashmolean_000114,1
ashmolean_000248,1
balliol_000168,2
balliol_000189,2
balliol_000033,2
balliol_000197,2
balliol_000109,2
balliol_000096,2
balliol_000042,2
balliol_000170,2
balliol_000138,2
balliol_000118,2
balliol_000090,2
balliol_000135,2
balliol_000191,2
balliol_000032,2
balliol_000031,2
balliol_000073,2
balliol_000048,2
balliol_000079,2
balliol_000055,2
balliol_000103,2
balliol_000181,2
balliol_000051,2
balliol_000119,2
balliol_000147,2
balliol_000083,2
balliol_000145,2
balliol_000173,2
balliol_000060,2
balliol_000165,2
balliol_000101,2
balliol_000122,2
balliol_000071,2
balliol_000061,2
balliol_000209,2
balliol_000188,2
balliol_000082,2
balliol_000124,2
balliol_000169,2
balliol_000148,2
balliol_000136,2
balliol_000000,2
balliol_000202,2
balliol_000019,2
balliol_000018,2
balliol_000162,2
balliol_000113,2
balliol_000114,2
balliol_000065,2
balliol_000081,2
balliol_000045,2
balliol_000012,2
balliol_000053,2
balliol_000058,2
balliol_000198,2
balliol_000067,2
balliol_000204,2
balliol_000116,2
balliol_000011,2
balliol_000046,2
balliol_000171,2
balliol_000211,2
balliol_000059,2
balliol_000039,2
balliol_000149,2
balliol_000020,2
balliol_000156,2
balliol_000023,2
balliol_000040,2
balliol_000057,2
balliol_000161,2
balliol_000151,2
balliol_000049,2
balliol_000213,2
balliol_000120,2
balliol_000194,2
balliol_000085,2
balliol_000084,2
balliol_000205,2
balliol_000110,2
balliol_000154,2
balliol_000022,2
balliol_000152,2
balliol_000010,2
balliol_000052,2
balliol_000102,2
balliol_000094,2
balliol_000098,2
balliol_000056,2
balliol_000123,2
balliol_000017,2
balliol_000111,2
balliol_000106,2
balliol_000064,2
balliol_000137,2
balliol_000097,2
balliol_000024,2
balliol_000104,2
balliol_000050,2
balliol_000095,2
balliol_000038,2
balliol_000075,2
balliol_000192,2
balliol_000043,2
balliol_000100,2
balliol_000157,2
balliol_000069,2
balliol_000007,2
balliol_000077,2
balliol_000108,2
balliol_000016,2
balliol_000047,2
balliol_000021,2
balliol_000208,2
balliol_000015,2
balliol_000167,2
balliol_000080,2
balliol_000115,2
balliol_000159,2
balliol_000013,2
balliol_000134,2
balliol_000062,2
balliol_000099,2
balliol_000164,2
balliol_000144,2
balliol_000105,2
balliol_000028,2
balliol_000172,2
balliol_000155,2
balliol_000158,2
balliol_000035,2
balliol_000066,2
balliol_000014,2
balliol_000036,2
balliol_000026,2
balliol_000078,2
balliol_000107,2
balliol_000187,2
balliol_000054,2
balliol_000184,2
balliol_000153,2
balliol_000027,2
balliol_000178,2
balliol_000037,2
balliol_000160,2
balliol_000163,2
balliol_000146,2
balliol_000143,2
balliol_000121,2
balliol_000196,2
balliol_000112,2
balliol_000044,2
balliol_000034,2
balliol_000025,2
balliol_000117,2
bodleian_000359,3
bodleian_000076,3
bodleian_000201,3
bodleian_000425,3
bodleian_000061,3
bodleian_000267,3
bodleian_000067,3
bodleian_000237,3
bodleian_000140,3
bodleian_000294,3
bodleian_000202,3
bodleian_000318,3
bodleian_000120,3
